static_text,log_level,preprocessed_text
Handling overlap merges in parallel. set hbasefsck.overlap.merge.parallel to false to run serially.,info,handl overlap merg parallel set fals run serial
Handling overlap merges serially.  set hbasefsck.overlap.merge.parallel to true to run in parallel.,info,handl overlap merg serial set true run parallel
Checking HBase region split map from HDFS data...,info,check hbase region split map hdf data
No previous  |  exists.  Continuing.,warn,previou exist continu
Region dir is empty: ,info,region dir empti
Sidelining files from  |  into containing region ,info,sidelin file contain region
Removing old region dir: ,info,remov old region dir
Trying to create a new hbase.version file.,info,tri creat new file
Could not completely load table dir ,warn,could complet load tabl dir
Could not process regionserver ,warn,could process regionserv
Could not check region consistency ,warn,could check region consist
Unable to complete check or repair the region ' | '.,warn,unabl complet check repair region
Skip region ' | ',warn,skip region
Got AccessDeniedException when preCheckPermission ,warn,got accessdeniedexcept precheckpermiss
Deleted  |  from META,info,delet meta
Reset split parent  |  in META,info,reset split parent meta
"Using unassign region  |  instead of using offline method, you should |  restart HMaster after these repairs",warn,use unassign region instead use offlin method restart hmaster repair
Offlining region ,info,offlin region
"Using unassign region  |  instead of using offline method, you should |  restart HMaster after these repairs",warn,use unassign region instead use offlin method restart hmaster repair
Unable to close region  |  since meta does not have handle to reach it,warn,unabl close region sinc meta handl reach
Unable to close region  |  because hbase:meta had invalid or missing  | : |  qualifier value.,warn,unabl close region hbase meta invalid miss qualifi valu
Got exception when attempting to offline region ,warn,got except attempt offlin region
"Region  |  is in META, and in a disabled  | tabled that is not deployed",info,region meta disabl tabl deploy
Region  |  was recently modified -- skipping,warn,region recent modifi skip
"Region  |  got merge recently, its file(s) will be cleaned by CatalogJanitor later",info,region got merg recent file clean catalogjanitor later
 start and stop keys are in the range of  | . The region might not be cleaned up from hdfs when region  |  split failed. Hence deleting from hdfs.,warn,start stop key rang region might clean hdf region split fail henc delet hdf
Patching hbase:meta with .regioninfo: ,info,patch hbase meta
Patching hbase:meta with with .regioninfo: ,info,patch hbase meta
"Region  |  is a split parent in META, in HDFS,  | and not deployed on any region server. This may be transient.",info,region split parent meta hdf deploy region server may transient
[ | ] HDFS region dir  |  is missing. Assuming already sidelined or moved.,warn,hdf region dir miss assum alreadi sidelin move
[ | ] HDFS region dir  |  already sidelined.,warn,hdf region dir alreadi sidelin
[ | ] Moving files from  |  into containing region ,info,move file contain region
[ | ] Sidelined region dir  |  into ,info,sidelin region dir
getTableDescriptors == tableNames => ,info,gettabledescriptor tablenam
By the time we tried to process this region dir it was already gone: ,warn,time tri process region dir alreadi gone
Checking all hfiles for corruption,info,check hfile corrupt
Sleeping  | ms before re-checking after fix...,info,sleep ms fix
Interrupted while sleeping,warn,interrupt sleep
we may need to clean some erroneous data due to bugs,info,may need clean erron data due bug
Problem scanning file system,warn,problem scan file system
Problem scanning file system,warn,problem scan file system
"Region still in transition, waiting for  | it to become assigned: ",info,region still transit wait becom assign
"Exception when waiting for region to become assigned, retrying",warn,except wait region becom assign retri
No HDFS region dir found:  |  meta=,warn,hdf region dir found
 has no store files,info,store file
Including store:  |  with:  |  files for compaction for region: ,info,includ store file compact region
Including store:  |  with:  |  files for compaction for region: ,info,includ store file compact region
 already compacted,info,alreadi compact
Including store:  |  for compaction for region:   |  (reference store files),info,includ store compact region refer store file
Server changed for region:  |  from:  |  to:  |  re-queuing request,info,server chang region request
"Firing off compaction request for server:  | ,  |  total queue size left: ",info,fire compact request server total queue size left
All compactions have completed,info,compact complet
All regions major compacted successfully,info,region major compact success
"No family specified, will execute for all families",info,famili specifi execut famili
Initializing compaction queues for table:   |  with cf: ,info,initi compact queue tabl cf
"Region is invalid, requesting updated regions",warn,region invalid request updat region
Error compacting:,warn,error compact
Compaction failed for the following stores:  |  region: ,info,compact fail follow store region
Compaction complete for region:  |  -> cf(s): ,info,compact complet region cf
Found corrupt HFile ,warn,found corrupt hfile
Quarantining corrupt HFile  |  into ,warn,quarantin corrupt hfile
HFile  |  was missing.  Likely removed due to compaction/split?,warn,hfile miss like remov due
hbase.hfile.quarantine.dir is deprecated. Default to ,warn,deprec default
Colfam Directory  |  does not exist.  Likely due to concurrent split/compaction. Skipping.,warn,colfam directori exist like due concurr skip
Colfam Directory  |  does not exist.  Likely due to concurrent split/compaction. Skipping.,warn,colfam directori exist like due concurr skip
Mob colfam Directory  |  does not exist.  Likely the table is deleted. Skipping.,warn,mob colfam directori exist like tabl delet skip
Mob colfam Directory  |  does not exist.  Likely the table is deleted. Skipping.,warn,mob colfam directori exist like tabl delet skip
Found corrupt mob file ,warn,found corrupt mob file
Quarantining corrupt mob file  |  into ,warn,quarantin corrupt mob file
Mob file  |  was missing.  Likely removed due to compaction?,warn,mob file miss like remov due compact
Mob directory  |  does not exist.  Likely the table is deleted. Skipping.,warn,mob directori exist like tabl delet skip
Mob directory  |  does not exist.  Likely the table is deleted. Skipping.,warn,mob directori exist like tabl delet skip
Region Directory  |  does not exist.  Likely due to concurrent split/compaction. Skipping.,warn,region directori exist like due concurr skip
Region Directory  |  does not exist.  Likely due to concurrent split/compaction. Skipping.,warn,region directori exist like due concurr skip
Table Directory  |  does not exist.  Likely due to concurrent delete. Skipping.,warn,tabl directori exist like due concurr delet skip
Region dirs checking interrupted!,warn,region dir check interrupt
Failed to quarantine an HFile in regiondir ,warn,fail quarantin hfile regiondir
Region dirs check interrupted!,warn,region dir check interrupt
Call to makeQualified failed on  |  ,info,call makequalifi fail
Cannot parse a server name from path= | ; ,warn,pars server name
Invalid log file path=,warn,invalid log file
Log  |  was moved to ,info,log move
Try to recover the WAL lease ,warn,tri recov wal leas
"Got NPE opening reader, will retry.",warn,got npe open reader retri
unable to recover lease for WAL: ,warn,unabl recov leas wal
hbase.regionserver.hlog.splitlog.corrupt.dir is deprecated. Default to *,warn,deprec default
Unable to mkdir *,info,unabl mkdir
Unable to move corrupted log * to *,warn,unabl move corrupt log
Moved corrupted log * to *,warn,move corrupt log
Unable to move * to *,warn,unabl move
Archived processed log * to *,info,archiv process log
Found existing old file: *. It could be some leftover of an old installation. It should be a folder instead. So moving it to *,warn,found exist old file could leftov old instal folder instead move
