static_text,log_level,preprocessed_text
Got exception while trying to close OutputSink,warn,got except tri close outputsink
Failed to shutdown the thread pool after 10 seconds,warn,fail shutdown thread pool 10 second
Got interrupted while waiting for the thread pool to shut down,warn,got interrupt wait thread pool shut
Got exception closing connection :,warn,got except close connect
Received IOException while trying to replicate,warn,receiv ioexcept tri replic
Failed to read stream of replication entries,error,fail read stream replic entri
Forcing removal of 0 length log in queue: ,warn,forc remov length log queue
Couldn't get file length information about log ,warn,could get file length inform log
Failed to deserialize bulk load entry from wal edit. Then its hfiles count will not be added into metric.,error,fail deseri bulk load entri wal edit hfile count ad metric
Failed to deserialize bulk load entry from wal edit. Size of HFiles part of cell will not be considered in replication request size calculation.,error,fail deseri bulk load entri wal edit size hfile part cell consid replic request size calcul
Failed to initialize LoadIncrementalHFiles for replicating bulk loaded data.,error,fail initi loadincrementalhfil replic bulk load data
Replication process did not find any files to replicate in directory ,warn,replic process find file replic directori
"Error occurred while replicating HFiles, retry attempt  |  with  |  files still remaining to replicate.",warn,error occur replic hfile retri attempt file still remain replic
Failed to delete the staging directory ,warn,fail delet stage directori
Failed to close the table.,warn,fail close tabl
* threw unknown exception:,warn,threw unknown except
Interrupted while waiting before transferring a queue.,warn,interrupt wait transfer queue
Interrupted while waiting before transferring a queue.,warn,interrupt wait transfer queue
"ReplicationException: cannot claim dead region (%s)'s  | replication queue. Znode : (%s) |  Possible solution: check if znode size exceeds jute.maxBuffer value.  |  If so, increase it for both client and server side.",error,replicationexcept claim dead region replic queue znode possibl solut check znode size exce valu increas client server side
"Skipping failover for peer * of node *, peer is null",warn,skip failov peer node peer null
Peer * is disabled. ReplicationSyncUp tool will skip replicating data to this peer.,warn,peer disabl replicationsyncup tool skip replic data peer
Failed creating a source,error,fail creat sourc
WAL Path %s doesn't exist and couldn't find its new location,error,wal path exist could find new locat
Recovery queue size is incorrect,error,recoveri queue size incorrect
Didn't find path for: ,error,find path
"Error while locating recovered queue paths, attempt #",error,error locat recov queue path attempt
Closing worker for wal group  |  because an error occurred: ,error,close worker wal group error occur
Failed to add hfile references in the replication queue.,error,fail add hfile refer replic queue
Failed to instantiate ,warn,fail instanti
Unable to accept edit because:,error,unabl accept edit
IOException while closing the connection,warn,ioexcept close connect
"WAL  |  couldn't be found, skipping",warn,wal could found skip
"Can't get file status of WAL  | , skipping",warn,ca get file statu wal skip
"DumpReplicationQueue received abort, ignoring.  Reason: ",warn,dumpreplicationqueu receiv abort ignor reason
"DumpReplicationQueue received stop, ignoring.  Reason: ",warn,dumpreplicationqueu receiv stop ignor reason
ZooKeeper initialization failed,error,zookeep initi fail
Failed parse of ACL tag in cell ,error,fail pars acl tag cell
$$$Empty Message$$$,error,empti messag
Interrupted while waiting for start,warn,interrupt wait start
Error reading data from zookeeper,error,error read data zookeep
Error reading data from zookeeper for node ,error,error read data zookeep node
Error reading permissions writables,error,error read permiss writabl
"Could not cancel processing node children changed event, please file a JIRA and attach logs if possible.",warn,could cancel process node children chang event pleas file jira attach log possibl
Error reading data from zookeeper for path ,error,error read data zookeep path
aclZNode changed after ZKPermissionWatcher was shutdown,warn,aclznod chang zkpermissionwatch shutdown
Failed parsing permissions for table ' | ' from zk,error,fail pars permiss tabl zk
Failed updating permissions for entry ' | ',error,fail updat permiss entri
No acl notify node of table ' | ',warn,acl notifi node tabl
Failed deleting acl node of table ' | ',error,fail delet acl node tabl
No acl notify node of namespace ' | ',warn,acl notifi node namespac
Failed deleting acl node of namespace ' | ',error,fail delet acl node namespac
$$$Empty Message$$$,warn,empti messag
Failed updating permissions mirror for ' | null | ',error,fail updat permiss mirror null
Exception while getting cells to calculate covering permission,error,except get cell calcul cover permiss
AccessController has been loaded with authorization checks DISABLED!,warn,accesscontrol load author check disabl
Not adding owner permission for table  | .  |  is not yet created.  |  should be configured as the first Coprocessor,warn,ad owner permiss tabl yet creat configur first coprocessor
NULL region from RegionCoprocessorEnvironment in preOpen(),error,null region regioncoprocessorenviron preopen
NULL region from RegionCoprocessorEnvironment in postOpen(),error,null region regioncoprocessorenviron postopen
Error occurred while retrieving group for ,error,error occur retriev group
ZooKeeper initialization failed,error,zookeep initi fail
ZKWatcher is abort,error,zkwatcher abort
Thread leaderElector[ | : | ] is stopped or not alive,warn,thread leaderelector stop aliv
Error reading data from zookeeper,error,error read data zookeep
Invalid znode name for key ID ' | ',error,invalid znode name key id
Error reading data from zookeeper,error,error read data zookeep
Error reading key writables,error,error read key writabl
Error reading data from zookeeper,error,error read data zookeep
Failed reading new secret key for id ' | ' from zk,error,fail read new secret key id zk
Non-existent znode  |  for key ,error,znode key
Failed removing znode  |  for key ,error,fail remov znode key
Unable to synchronize master key  |  to znode ,error,unabl synchron master key znode
Unable to update master key  |  in znode ,error,unabl updat master key znode
Error reading data from zookeeper,error,error read data zookeep
"Token generation denied for user= | , authMethod=",warn,token gener deni
Failed to get token for ,error,fail get token
Failed to cancel HDFS delegation token: ,warn,fail cancel hdf deleg token
Error creating VisibilityLabelsCache,error,error creat visibilitylabelscach
$$$Empty Message$$$,error,empti messag
Error in isDeleted() check! Will treat cell as not deleted,error,error isdelet check treat cell delet
Trying to use table specific value for config  | 'hbase.regionserver.visibility.label.service.class' which is not supported. |  Will use the cluster level VisibilityLabelService class ,warn,tri use tabl specif valu config support use cluster level visibilitylabelservic class
